UserId,TaskId,DateCompletion
591,937,03-08-2022
251,470,10-06-2022
461,46,26-12-2022
427,296,21-09-2022
206,631,29-07-2022
167,18,17-10-2022
359,535,02-05-2023
926,548,15-07-2022
651,117,28-04-2023
640,520,29-09-2022
437,754,19-11-2022
456,793,02-04-2023
765,754,28-07-2022
796,862,22-05-2022
496,378,14-01-2023
3,442,24-04-2023
473,238,12-10-2022
514,904,08-07-2022
2,222,30-07-2022
270,790,03-11-2022
824,958,20-02-2023
982,744,09-01-2023
656,404,08-10-2022
585,870,28-04-2023
146,901,22-06-2022
180,886,23-12-2022
14,383,19-10-2022
708,776,26-05-2022
635,656,17-12-2022
455,428,01-05-2023
31,63,24-09-2022
428,908,05-06-2022
768,1004,15-11-2022
154,285,03-01-2023
365,968,22-04-2023
311,467,30-11-2022
177,508,18-09-2022
77,668,24-04-2023
505,898,14-12-2022
751,196,15-07-2022
852,209,04-09-2022
114,153,13-05-2022
307,645,06-05-2023
536,683,21-04-2023
85,857,02-10-2022
823,17,26-11-2022
123,354,11-08-2022
705,947,22-03-2023
12,406,27-08-2022
35,278,24-03-2023
512,232,14-11-2022
418,891,13-05-2022
796,973,09-09-2022
691,665,21-04-2023
537,45,07-11-2022
724,497,13-02-2023
568,332,23-12-2022
927,267,06-04-2023
766,975,21-10-2022
190,221,21-09-2022
201,938,18-01-2023
274,809,29-08-2022
303,720,09-07-2022
245,99,31-12-2022
126,203,10-07-2022
791,466,18-03-2023
425,695,19-10-2022
763,438,06-12-2022
624,461,16-03-2023
445,948,08-02-2023
418,291,17-01-2023
440,471,02-07-2022
1004,470,08-01-2023
339,377,02-06-2022
261,724,08-02-2023
852,367,18-07-2022
673,128,01-06-2022
234,156,21-12-2022
91,246,18-10-2022
877,73,14-05-2022
175,956,30-06-2022
357,656,14-08-2022
699,210,25-01-2023
869,425,23-01-2023
788,708,06-11-2022
210,953,14-12-2022
19,726,08-05-2022
106,917,23-11-2022
449,267,14-12-2022
81,681,05-04-2023
828,890,13-06-2022
768,859,12-07-2022
481,502,27-03-2023
931,621,20-06-2022
720,83,05-03-2023
596,766,28-01-2023
330,563,18-01-2023
930,336,24-04-2023
541,123,08-03-2023
440,274,14-08-2022
509,978,30-09-2022
834,585,23-11-2022
133,154,05-06-2022
212,265,26-03-2023
199,786,21-03-2023
844,978,17-05-2022
671,695,18-06-2022
120,597,21-07-2022
978,903,07-12-2022
573,976,21-10-2022
997,542,10-05-2022
786,693,01-01-2023
710,96,13-01-2023
995,73,02-12-2022
370,886,05-12-2022
898,421,14-04-2023
410,552,03-11-2022
161,369,30-09-2022
377,338,21-05-2022
292,283,24-06-2022
307,17,25-04-2023
112,298,09-05-2022
997,685,05-11-2022
563,419,06-05-2023
125,840,22-04-2023
620,91,12-04-2023
242,27,22-01-2023
551,807,03-01-2023
895,42,11-01-2023
820,113,26-06-2022
708,108,08-10-2022
174,38,03-05-2023
330,719,27-12-2022
964,388,29-09-2022
497,180,13-09-2022
274,53,05-05-2023
89,543,14-03-2023
620,899,22-04-2023
984,17,26-08-2022
9,752,25-05-2022
349,677,06-08-2022
414,87,10-09-2022
524,256,15-06-2022
275,471,23-05-2022
943,612,05-12-2022
599,104,14-07-2022
590,96,11-10-2022
30,856,25-02-2023
481,944,26-09-2022
884,585,18-01-2023
266,836,19-10-2022
122,74,01-05-2023
208,333,18-06-2022
555,264,02-05-2023
941,614,18-06-2022
760,410,29-10-2022
519,608,31-08-2022
350,27,02-02-2023
642,457,23-08-2022
67,300,18-04-2023
25,566,09-04-2023
982,696,27-12-2022
268,106,06-11-2022
949,786,05-03-2023
70,902,30-08-2022
772,96,24-09-2022
447,427,15-03-2023
705,996,13-09-2022
80,505,02-01-2023
87,635,21-05-2022
261,616,28-10-2022
266,593,26-07-2022
481,824,21-10-2022
306,666,25-02-2023
138,613,15-09-2022
940,663,20-08-2022
898,927,30-06-2022
752,795,14-06-2022
148,186,17-08-2022
865,354,19-01-2023
325,443,15-05-2022
462,201,29-07-2022
322,181,05-07-2022
148,902,07-04-2023
535,837,07-02-2023
58,441,29-10-2022
255,206,28-08-2022
964,926,21-07-2022
832,427,28-02-2023
46,428,27-04-2023
525,260,19-06-2022
25,458,08-10-2022
758,816,17-01-2023
627,521,24-12-2022
181,827,15-04-2023
142,817,03-09-2022
697,318,13-10-2022
61,522,16-05-2022
807,302,27-10-2022
903,389,06-04-2023
648,546,01-11-2022
871,580,22-07-2022
112,417,23-12-2022
256,781,26-11-2022
716,562,05-06-2022
387,892,10-09-2022
257,88,20-01-2023
745,100,21-07-2022
771,928,06-12-2022
863,441,05-11-2022
249,217,12-04-2023
887,817,22-06-2022
753,618,30-06-2022
156,75,10-09-2022
506,42,20-02-2023
666,181,21-03-2023
26,293,15-05-2022
276,907,26-07-2022
994,645,07-03-2023
91,167,13-10-2022
758,36,18-11-2022
820,361,15-11-2022
878,165,25-03-2023
303,36,22-12-2022
467,558,02-06-2022
693,275,09-09-2022
682,12,19-04-2023
378,446,16-03-2023
352,793,22-04-2023
991,308,05-02-2023
925,298,11-11-2022
145,196,29-09-2022
509,395,30-01-2023
347,593,23-10-2022
321,324,14-04-2023
579,268,27-04-2023
450,852,29-12-2022
631,238,09-04-2023
796,547,16-12-2022
1010,792,15-03-2023
576,159,20-08-2022
661,644,14-10-2022
994,261,10-04-2023
183,483,07-04-2023
204,846,27-07-2022
89,220,21-10-2022
823,102,04-12-2022
743,612,25-06-2022
28,881,04-06-2022
897,653,05-06-2022
606,182,22-05-2022
395,618,14-10-2022
804,933,23-05-2022
941,478,25-04-2023
470,530,08-07-2022
212,428,09-05-2022
300,788,23-08-2022
471,455,09-06-2022
564,519,14-02-2023
423,640,11-08-2022
406,46,27-08-2022
791,958,06-08-2022
911,697,11-05-2022
290,700,01-03-2023
706,258,18-01-2023
193,645,11-10-2022
695,981,22-11-2022
610,535,02-03-2023
793,179,06-12-2022
362,423,18-12-2022
332,871,04-02-2023
630,413,01-02-2023
782,756,28-05-2022
752,546,07-09-2022
78,414,06-09-2022
879,551,25-01-2023
38,655,09-01-2023
414,815,06-05-2023
128,900,30-06-2022
462,253,22-04-2023
134,366,21-03-2023
34,421,07-06-2022
103,611,29-10-2022
78,853,19-10-2022
1006,963,18-03-2023
184,797,25-06-2022
852,442,02-11-2022
659,194,04-11-2022
706,558,02-12-2022
825,645,14-01-2023
133,947,10-08-2022
930,341,27-01-2023
147,590,02-08-2022
200,20,09-04-2023
507,653,16-07-2022
395,13,13-07-2022
462,954,11-07-2022
1002,679,13-08-2022
315,658,24-10-2022
462,5,31-03-2023
692,599,01-05-2023
707,359,15-11-2022
10,301,02-06-2022
209,823,05-08-2022
322,735,31-10-2022
563,739,17-09-2022
568,504,21-09-2022
772,434,23-12-2022
610,21,02-06-2022
597,978,21-04-2023
908,751,09-06-2022
822,360,15-09-2022
681,34,26-01-2023
144,826,05-03-2023
341,273,27-06-2022
582,94,29-06-2022
378,565,21-09-2022
86,114,18-03-2023
1001,225,12-09-2022
238,450,14-10-2022
802,497,12-09-2022
575,351,29-07-2022
280,55,07-06-2022
875,380,15-09-2022
970,850,09-06-2022
929,660,22-08-2022
1003,509,06-07-2022
903,292,14-12-2022
575,116,22-07-2022
967,94,15-06-2022
138,481,06-02-2023
254,280,15-03-2023
620,109,01-02-2023
452,531,06-07-2022
825,58,21-05-2022
761,982,14-11-2022
478,40,14-01-2023
370,72,16-08-2022
182,388,27-06-2022
75,845,27-07-2022
448,780,18-12-2022
535,87,22-12-2022
642,281,16-10-2022
697,683,24-05-2022
124,605,19-10-2022
582,82,27-12-2022
656,629,09-03-2023
765,454,06-04-2023
115,988,24-08-2022
581,932,26-03-2023
161,34,09-10-2022
887,214,13-12-2022
71,650,22-04-2023
622,397,23-01-2023
539,828,12-03-2023
813,637,05-02-2023
459,558,13-04-2023
250,702,19-06-2022
569,841,15-01-2023
267,443,22-04-2023
7,935,18-03-2023
89,190,20-04-2023
117,772,24-09-2022
186,219,15-01-2023
930,68,13-09-2022
746,373,09-11-2022
57,635,10-04-2023
137,341,29-04-2023
258,238,25-09-2022
387,426,03-09-2022
515,580,09-03-2023
246,721,24-02-2023
538,249,27-08-2022
983,675,07-04-2023
504,58,15-02-2023
31,969,15-11-2022
183,936,20-05-2022
324,504,03-08-2022
846,505,10-10-2022
245,926,30-10-2022
168,49,23-08-2022
99,360,13-07-2022
870,242,10-02-2023
735,280,22-04-2023
971,305,18-07-2022
369,710,13-08-2022
400,326,04-03-2023
281,581,06-05-2023
682,341,31-10-2022
816,973,02-02-2023
73,455,03-01-2023
22,315,08-06-2022
729,426,10-06-2022
793,491,14-08-2022
54,378,19-12-2022
491,627,08-07-2022
267,667,29-03-2023
306,909,03-09-2022
830,69,05-02-2023
665,243,28-04-2023
400,875,05-11-2022
447,576,25-07-2022
126,579,22-11-2022
247,12,27-06-2022
439,486,04-05-2023
315,646,29-05-2022
801,204,12-05-2022
380,159,27-10-2022
508,989,31-12-2022
665,194,05-06-2022
456,625,01-08-2022
440,398,27-05-2022
5,209,15-07-2022
422,805,08-09-2022
876,772,29-07-2022
556,40,13-10-2022
247,502,28-09-2022
60,856,10-03-2023
482,8,30-12-2022
758,334,04-02-2023
861,631,23-06-2022
607,963,02-04-2023
737,906,09-06-2022
860,569,13-09-2022
61,278,30-05-2022
295,587,10-12-2022
618,731,10-09-2022
884,15,23-09-2022
68,136,19-03-2023
31,862,24-02-2023
1008,702,29-11-2022
634,289,27-01-2023
54,518,18-12-2022
51,274,18-12-2022
36,315,01-08-2022
522,821,12-12-2022
340,740,01-11-2022
643,647,01-06-2022
940,761,22-05-2022
67,598,07-01-2023
676,607,22-08-2022
145,746,01-07-2022
586,395,01-10-2022
32,6,21-12-2022
445,253,27-04-2023
328,634,21-07-2022
199,77,04-09-2022
710,943,29-11-2022
16,726,12-09-2022
976,638,27-01-2023
130,908,06-05-2023
270,772,24-09-2022
839,26,30-10-2022
219,289,29-06-2022
85,762,21-11-2022
795,79,09-04-2023
542,160,21-10-2022
88,343,18-04-2023
91,702,16-01-2023
332,379,24-12-2022
862,867,02-06-2022
704,699,19-04-2023
441,339,05-12-2022
95,655,13-08-2022
160,648,14-02-2023
678,226,11-02-2023
427,161,19-05-2022
683,398,15-05-2022
180,820,06-06-2022
384,287,08-07-2022
125,837,25-08-2022
59,926,06-11-2022
757,823,17-01-2023
464,606,27-05-2022
653,772,23-05-2022
244,463,12-11-2022
765,782,17-12-2022
51,757,20-04-2023
33,181,01-09-2022
406,462,18-08-2022
293,436,07-10-2022
593,622,12-09-2022
488,443,15-04-2023
478,478,31-01-2023
300,62,15-12-2022
339,19,11-07-2022
81,958,02-05-2023
476,261,03-04-2023
38,508,14-11-2022
25,885,27-03-2023
194,558,22-03-2023
238,251,06-01-2023
657,107,06-04-2023
274,921,19-08-2022
743,978,28-07-2022
409,378,20-11-2022
881,885,30-06-2022
709,248,02-02-2023
658,436,08-08-2022
1006,88,20-10-2022
256,734,17-04-2023
415,741,02-01-2023
529,959,28-06-2022
432,784,29-10-2022
357,514,28-01-2023
693,328,06-05-2023
915,82,26-11-2022
312,739,07-10-2022
254,688,04-01-2023
1003,119,15-12-2022
824,799,18-04-2023
188,863,11-06-2022
256,223,10-08-2022
819,575,15-04-2023
624,791,08-01-2023
566,193,03-04-2023
942,325,14-10-2022
439,56,19-11-2022
306,866,05-01-2023
531,893,06-11-2022
9,795,01-03-2023
891,414,10-07-2022
827,707,26-08-2022
477,968,01-12-2022
346,58,23-11-2022
715,991,31-03-2023
695,425,22-12-2022
839,659,03-05-2023
440,903,17-09-2022
820,59,23-11-2022
208,879,29-05-2022
64,201,02-05-2023
619,213,18-01-2023
262,156,03-02-2023
885,610,02-02-2023
738,26,14-04-2023
215,313,30-10-2022
375,341,02-12-2022
633,770,27-02-2023
432,653,01-03-2023
990,563,25-08-2022
541,409,01-05-2023
651,894,03-08-2022
417,641,17-06-2022
707,610,26-10-2022
215,132,11-01-2023
564,725,10-07-2022
157,345,14-07-2022
759,690,17-06-2022
785,786,16-01-2023
192,64,08-07-2022
456,201,25-04-2023
703,601,11-10-2022
967,573,25-02-2023
9,365,03-10-2022
459,150,26-04-2023
257,23,03-01-2023
902,47,27-06-2022
721,572,22-10-2022
62,763,17-08-2022
27,441,16-04-2023
377,685,05-08-2022
94,665,09-11-2022
375,187,24-11-2022
730,924,10-03-2023
168,791,15-11-2022
123,144,07-09-2022
874,35,27-01-2023
906,467,28-04-2023
261,232,18-11-2022
971,296,09-06-2022
328,33,21-04-2023
631,500,09-06-2022
397,840,23-09-2022
921,337,07-02-2023
348,469,09-12-2022
931,989,30-12-2022
600,556,13-03-2023
510,703,04-01-2023
345,898,29-07-2022
913,536,14-03-2023
656,346,29-10-2022
349,668,16-08-2022
728,87,05-06-2022
947,64,19-01-2023
744,70,28-08-2022
216,841,19-12-2022
238,942,27-06-2022
213,757,22-04-2023
164,715,28-08-2022
576,200,10-03-2023
879,251,03-02-2023
755,721,21-01-2023
120,867,20-03-2023
356,780,12-08-2022
665,612,04-05-2023
438,515,20-04-2023
342,650,19-11-2022
767,923,07-10-2022
618,910,27-07-2022
566,294,23-04-2023
758,713,01-06-2022
935,797,01-06-2022
707,401,15-08-2022
398,118,22-01-2023
338,738,02-11-2022
75,934,23-01-2023
427,49,14-01-2023
744,950,19-12-2022
209,962,28-09-2022
403,77,18-06-2022
132,387,02-04-2023
291,698,15-11-2022
697,471,10-03-2023
402,849,28-11-2022
275,666,21-06-2022
484,893,31-05-2022
4,359,29-03-2023
129,203,28-08-2022
174,693,28-03-2023
683,341,18-07-2022
579,1010,06-07-2022
891,269,24-05-2022
411,678,09-12-2022
686,11,16-11-2022
944,640,27-09-2022
794,878,11-01-2023
461,88,11-12-2022
556,10,01-04-2023
106,727,19-05-2022
705,773,12-07-2022
582,614,05-06-2022
294,71,23-05-2022
68,762,07-10-2022
362,818,01-05-2023
381,567,03-05-2023
467,421,02-11-2022
813,648,20-07-2022
523,224,16-01-2023
491,116,26-11-2022
76,123,14-10-2022
780,550,24-01-2023
32,431,16-01-2023
981,233,12-02-2023
197,135,21-09-2022
416,108,22-06-2022
674,783,26-02-2023
755,159,30-07-2022
564,957,04-09-2022
818,4,16-10-2022
192,698,02-10-2022
287,481,08-02-2023
367,13,01-03-2023
549,695,23-06-2022
638,937,18-04-2023
533,36,07-12-2022
123,320,25-05-2022
426,846,09-11-2022
582,747,30-04-2023
475,376,05-07-2022
902,756,16-04-2023
7,446,17-04-2023
586,934,17-12-2022
345,174,01-07-2022
31,131,29-09-2022
881,782,19-07-2022
353,6,07-04-2023
47,264,14-09-2022
768,822,12-04-2023
375,733,26-03-2023
997,920,30-03-2023
266,979,10-11-2022
186,976,24-05-2022
171,511,11-07-2022
311,763,16-08-2022
54,718,09-11-2022
669,759,15-02-2023
886,659,26-06-2022
164,70,24-11-2022
537,763,24-09-2022
614,405,30-09-2022
60,400,14-11-2022
428,2,09-12-2022
504,651,17-12-2022
225,374,20-06-2022
368,473,24-12-2022
719,583,27-09-2022
187,254,26-02-2023
99,791,01-11-2022
711,85,28-07-2022
545,244,01-06-2022
154,393,09-11-2022
390,266,26-11-2022
979,425,26-09-2022
780,21,11-07-2022
512,74,19-08-2022
19,315,12-06-2022
596,973,07-04-2023
480,41,06-01-2023
811,749,16-05-2022
617,599,15-12-2022
829,279,25-08-2022
60,634,05-10-2022
488,617,10-05-2022
893,878,08-01-2023
435,935,29-10-2022
232,88,30-04-2023
251,368,02-12-2022
162,171,29-01-2023
382,977,13-05-2022
44,762,21-05-2022
72,744,05-06-2022
619,904,25-02-2023
511,682,04-10-2022
713,403,26-01-2023
403,344,14-11-2022
347,128,03-01-2023
56,1000,10-01-2023
651,459,03-01-2023
602,367,21-04-2023
381,578,24-09-2022
420,457,21-11-2022
645,807,06-03-2023
495,514,08-10-2022
993,179,27-04-2023
455,778,03-09-2022
517,352,05-12-2022
166,266,24-01-2023
947,692,24-04-2023
192,661,30-10-2022
937,151,04-05-2023
640,374,20-10-2022
26,946,06-09-2022
3,480,10-02-2023
940,858,18-09-2022
609,36,22-07-2022
734,461,18-07-2022
799,18,13-11-2022
333,896,21-01-2023
745,197,13-04-2023
447,715,30-12-2022
737,493,26-04-2023
604,713,26-05-2022
67,600,08-09-2022
293,764,02-01-2023
856,166,15-10-2022
722,921,17-04-2023
216,910,18-09-2022
85,893,09-10-2022
107,961,15-05-2022
1004,490,21-04-2023
940,727,04-11-2022
244,231,22-12-2022
501,723,07-11-2022
226,558,28-11-2022
811,766,23-03-2023
346,50,02-12-2022
807,149,26-01-2023
413,869,02-11-2022
545,218,17-02-2023
968,337,05-10-2022
691,67,18-12-2022
675,448,24-10-2022
372,368,21-09-2022
205,67,06-02-2023
853,132,24-01-2023
847,503,25-09-2022
101,483,11-10-2022
380,213,12-08-2022
874,145,19-02-2023
392,845,06-01-2023
428,134,27-11-2022
703,661,11-11-2022
95,321,06-03-2023
759,283,06-06-2022
671,787,18-10-2022
153,276,16-10-2022
353,362,24-03-2023
672,874,30-08-2022
3,667,26-02-2023
308,854,29-05-2022
485,791,13-06-2022
493,138,28-01-2023
623,119,27-03-2023
252,784,18-08-2022
93,646,05-07-2022
139,955,15-08-2022
813,810,31-10-2022
57,79,08-07-2022
400,441,05-11-2022
905,273,17-12-2022
487,385,27-04-2023
28,116,19-05-2022
312,391,03-11-2022
178,821,13-10-2022
739,307,28-08-2022
297,287,22-04-2023
402,637,05-12-2022
481,766,14-10-2022
853,93,02-01-2023
811,723,25-01-2023
134,905,27-05-2022
984,620,30-07-2022
349,225,09-03-2023
416,339,26-03-2023
57,128,02-05-2023
149,547,13-09-2022
702,847,20-08-2022
843,540,16-11-2022
957,269,22-05-2022
452,330,22-04-2023
997,640,27-08-2022
207,200,23-03-2023
47,428,14-07-2022
337,708,04-04-2023
985,905,05-08-2022
778,969,16-04-2023
298,200,14-01-2023
865,940,09-06-2022
18,381,09-12-2022
29,186,25-10-2022
765,57,16-09-2022
406,468,11-07-2022
253,407,29-05-2022
808,867,28-12-2022
436,511,26-02-2023
49,507,17-10-2022
703,185,09-01-2023
706,556,14-07-2022
437,866,12-04-2023
685,907,18-11-2022
159,367,14-11-2022
706,950,09-12-2022
361,494,17-01-2023
363,421,16-02-2023
766,886,16-10-2022
947,526,09-04-2023
837,163,29-08-2022
314,932,24-05-2022
365,896,21-03-2023
395,990,02-04-2023
720,825,19-05-2022
865,738,20-09-2022
32,895,10-04-2023
600,824,02-02-2023
177,38,26-09-2022
633,132,14-07-2022
420,972,21-03-2023
174,635,28-06-2022
203,127,06-02-2023
768,3,05-01-2023
915,642,23-01-2023
585,622,07-06-2022
475,107,23-11-2022
258,153,21-10-2022
926,470,20-05-2022
268,866,09-12-2022
93,243,21-10-2022
365,275,07-06-2022
550,696,27-09-2022
846,592,05-05-2023
139,74,28-04-2023
874,878,07-06-2022
909,345,18-02-2023
933,344,03-08-2022
461,559,25-08-2022
674,966,27-09-2022
690,297,20-02-2023
386,321,03-01-2023
637,881,17-03-2023
101,743,29-09-2022
995,804,27-11-2022
376,861,23-05-2022
141,973,21-06-2022
903,571,10-04-2023
723,525,05-01-2023
249,51,13-09-2022
151,873,26-09-2022
972,738,14-09-2022
