TaskId,Name,Description,DifficaltyLvl,TypeId
25,ridiculus mus etiam,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,82.76,9
26,primis in faucibus orci luctus,mi nulla ac enim in,95.88,3
27,quis tortor id,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,48.56,9
28,nulla,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,30.5,8
29,pede lobortis,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,85.16,2
30,erat vestibulum sed magna,sem,97.61,2
31,massa donec,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,61.24,5
32,blandit,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,5.85,3
33,pellentesque volutpat dui,amet nunc viverra dapibus nulla,82.52,10
34,elit sodales scelerisque,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,59.66,4
35,eu,morbi a ipsum integer a nibh in,40.1,7
36,nulla tempus vivamus in,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,73.63,1
37,dapibus nulla suscipit ligula,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,45.68,5
38,elementum pellentesque quisque,in imperdiet et,66.4,3
39,sapien,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,1.64,4
40,mattis egestas metus aenean,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,97.7,2
41,nam tristique tortor eu,in leo maecenas pulvinar,70.84,10
42,aliquam lacus morbi,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,66.29,4
43,et magnis,cum sociis,54.82,6
44,eros elementum pellentesque,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,11.61,1
45,vestibulum quam sapien varius,dui vel nisl duis ac,50.61,5
46,nisi,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,44.1,2
47,id justo,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,71.58,7
48,ipsum aliquam non mauris morbi,in eleifend quam a odio in hac habitasse platea dictumst,6.88,2
49,praesent blandit nam,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,92.03,10
50,suspendisse,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,48.15,5
51,aliquet massa,placerat ante nulla justo aliquam quis,25.47,5
52,elementum ligula vehicula,orci mauris lacinia sapien quis,53.71,3
53,est donec odio justo,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,60.04,8
54,libero convallis,nisi vulputate nonummy maecenas tincidunt lacus,85.76,10
55,morbi non,nisl nunc rhoncus,36.56,3
56,nulla pede ullamcorper augue a,elit proin interdum,1.27,1
57,proin,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,79.88,3
58,vestibulum sit amet,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,69.12,4
59,platea dictumst aliquam,nulla elit ac nulla sed vel enim sit amet,70.14,7
60,mollis molestie lorem,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,59.06,10
61,velit eu est congue elementum,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,63.81,4
62,quisque,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,1.65,7
63,tincidunt,primis in faucibus orci luctus et,36.23,4
64,orci luctus et ultrices posuere,tempor convallis nulla neque libero,27.44,1
65,amet turpis,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,37.41,9
66,dis parturient,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,70.08,1
67,amet lobortis sapien sapien,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,72.81,5
68,vestibulum ante ipsum primis,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,4.86,5
69,porttitor id consequat,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,91.04,8
70,consequat dui,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,1.49,4
71,ac,viverra pede ac diam cras pellentesque volutpat dui,92.61,2
72,in eleifend,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,65.89,1
73,diam erat fermentum justo nec,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,4.03,5
74,blandit lacinia erat,posuere cubilia curae duis faucibus accumsan odio curabitur,43.24,7
75,sem fusce consequat nulla,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,64.2,7
76,magnis dis parturient montes,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,71.47,5
77,ridiculus,a ipsum,44.07,2
78,odio in hac habitasse,lorem integer tincidunt ante vel ipsum praesent,79.14,3
79,bibendum morbi non quam nec,eget massa tempor convallis nulla neque libero convallis,10.55,5
80,lacus at,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,81.8,6
81,rhoncus aliquet,luctus et ultrices,53.38,3
82,sit amet consectetuer adipiscing,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,5.33,7
83,habitasse platea dictumst morbi vestibulum,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,70.48,3
84,habitasse platea,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,96.52,7
85,cubilia curae donec,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,3.69,2
86,nulla ac,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,97.63,1
87,non pretium quis lectus suspendisse,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,60.78,5
88,pharetra magna,quam pharetra magna ac consequat metus sapien ut,16.78,8
89,vel pede morbi,eget massa tempor,17.02,9
90,luctus,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,37.18,6
91,venenatis,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,66.12,1
92,duis bibendum morbi non quam,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,30.14,6
93,ipsum praesent blandit lacinia erat,vel dapibus,85.74,1
94,curae donec pharetra magna,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,16.3,6
95,molestie,turpis adipiscing lorem,45.17,7
96,aliquam augue,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,81.89,1
97,consequat,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,63.53,7
98,non,felis ut,53.07,4
99,proin risus praesent lectus,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,32.07,3
100,quam,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,34.1,5
101,amet justo morbi ut,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,46.24,6
102,dolor morbi vel lectus in,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,69.68,10
103,convallis eget eleifend,sapien sapien non mi,96.73,7
104,morbi sem,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,77.31,2
105,mi nulla ac enim in,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,40.0,6
106,orci,lacinia aenean sit,17.96,8
107,vivamus vel nulla eget,amet justo morbi ut odio cras,26.25,2
108,odio,in ante vestibulum,31.77,3
109,eleifend quam a odio in,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,73.89,6
110,cras non velit nec nisi,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,95.82,7
111,lobortis vel,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1.4,5
112,vel nisl duis ac,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,49.12,1
113,cras mi pede malesuada,amet sapien dignissim vestibulum,57.24,9
114,lectus in est risus auctor,in felis donec semper sapien a libero nam,98.88,7
115,mus etiam vel,curabitur at ipsum ac tellus semper,88.23,2
116,id ornare imperdiet,justo pellentesque viverra pede ac,36.79,10
117,id,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,29.07,5
118,luctus rutrum nulla tellus in,curae mauris viverra diam vitae,6.67,6
119,magna vulputate,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,11.92,10
120,adipiscing molestie hendrerit at,ultrices posuere,17.66,2
121,vestibulum vestibulum,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,53.13,8
122,vivamus in felis eu sapien,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,30.26,5
123,integer a nibh in,cursus id turpis integer aliquet massa id lobortis convallis,42.17,2
124,eros viverra eget,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,98.57,6
125,leo odio condimentum id luctus,pede malesuada in imperdiet et,35.52,9
126,hac habitasse,praesent blandit lacinia,14.43,5
127,a nibh in quis justo,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,97.59,6
128,phasellus sit amet erat nulla,nibh ligula nec sem duis aliquam,4.0,1
129,non sodales sed,morbi odio odio elementum eu,14.71,8
130,rutrum nulla nunc purus phasellus,rhoncus sed vestibulum sit amet cursus id turpis,77.67,2
131,non mauris morbi non,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,66.44,6
132,volutpat,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,24.78,9
133,diam erat fermentum justo,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,16.79,1
134,in purus,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,65.74,6
135,sed ante,tellus nisi eu orci mauris lacinia sapien,21.42,3
136,duis,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,35.58,2
137,leo rhoncus,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,52.72,7
138,posuere,nunc rhoncus dui vel sem sed sagittis nam,80.54,10
139,quis justo maecenas rhoncus,mattis egestas metus aenean fermentum donec,68.86,6
140,nulla ac enim in tempor,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,33.83,7
141,est congue,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,59.03,10
142,nisl,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,43.8,6
143,in blandit,rutrum rutrum neque aenean auctor gravida sem praesent id,25.28,3
144,id justo sit amet sapien,urna pretium nisl ut volutpat,77.2,8
145,gravida,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,76.92,5
146,vel augue vestibulum rutrum rutrum,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,41.76,6
147,nulla sed vel enim sit,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,14.28,9
148,odio cras mi pede malesuada,massa donec dapibus duis at velit eu est congue elementum in hac,26.59,10
149,tortor sollicitudin mi,nec molestie sed justo pellentesque viverra pede ac,61.49,6
150,orci nullam molestie,ut nulla sed accumsan felis ut at dolor quis odio consequat varius,88.19,3
151,erat quisque erat eros,nam nulla integer,59.44,7
152,id justo sit amet,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,63.52,6
153,ultrices posuere cubilia,nam,81.24,3
154,consequat ut nulla,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,31.86,7
155,ac neque duis bibendum,luctus,11.24,3
156,vitae consectetuer eget,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,87.88,9
157,odio,turpis a pede posuere nonummy,33.57,8
158,venenatis non sodales,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,73.26,3
159,ut rhoncus aliquet pulvinar,adipiscing elit proin interdum mauris non ligula pellentesque ultrices,93.58,5
160,id,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,73.51,5
161,mi,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,5.28,6
162,vulputate luctus cum,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,77.38,2
163,sit,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,38.17,3
164,sit amet sapien,tortor,77.24,10
165,convallis,et ultrices posuere cubilia curae nulla dapibus dolor vel est,20.76,6
166,justo eu,volutpat sapien arcu,72.64,6
167,erat fermentum justo,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,58.93,2
168,morbi,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,84.55,6
169,sit,in faucibus orci luctus,32.68,2
170,quisque porta volutpat erat quisque,vitae nisl aenean lectus pellentesque eget nunc donec quis,1.51,10
171,posuere,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,85.13,7
172,luctus,pellentesque eget nunc,54.09,7
173,magna,non velit,36.78,9
174,nec sem duis aliquam,sapien non mi integer ac neque duis bibendum morbi non,79.87,2
175,condimentum curabitur in libero,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,29.23,6
176,libero nam dui,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,75.74,7
177,mi in,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,9.95,2
178,quis justo,imperdiet nullam orci pede venenatis non sodales sed tincidunt,90.93,1
179,dis parturient montes,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,24.26,5
180,ante ipsum,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,34.03,1
181,turpis elementum ligula vehicula consequat,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,48.86,5
182,velit donec diam,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,48.36,2
183,non quam,quisque erat eros viverra eget congue eget semper rutrum nulla nunc,8.69,2
184,id ligula suspendisse ornare consequat,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,49.06,5
185,eget,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,41.47,2
186,adipiscing lorem vitae mattis nibh,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,49.76,7
187,convallis eget eleifend luctus ultricies,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,75.49,4
188,eu tincidunt in,magna ac consequat,23.05,2
189,sapien,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,82.98,8
190,lacus morbi quis tortor,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,13.85,8
191,odio donec vitae nisi,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,97.84,5
192,sociis,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,10.22,5
193,penatibus et magnis dis parturient,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,59.55,5
194,primis,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,61.68,10
195,lorem ipsum dolor,ac consequat metus sapien ut,11.88,9
196,neque sapien,pretium nisl ut volutpat sapien arcu sed augue,76.42,6
197,lobortis vel dapibus,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,34.26,9
198,phasellus in felis,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,24.46,3
199,neque aenean,donec posuere metus vitae ipsum,36.52,4
200,consequat,phasellus in felis donec semper sapien a libero nam dui proin,79.02,2
201,faucibus,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,9.41,2
202,neque,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,19.91,10
203,consectetuer eget rutrum at lorem,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,51.02,7
204,nulla,mollis molestie lorem quisque,36.12,3
205,convallis nulla neque libero convallis,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,4.94,2
206,pede,vel accumsan tellus nisi eu orci mauris lacinia,7.12,7
207,ipsum aliquam,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,22.49,5
208,ipsum dolor sit,sapien cursus vestibulum,68.31,7
209,vel nulla eget,ac consequat metus sapien,80.56,9
210,curae duis,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,28.99,2
211,posuere felis sed lacus morbi,tempus sit amet sem fusce consequat,57.3,10
212,nascetur,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,74.86,8
213,viverra dapibus nulla suscipit ligula,orci luctus,98.28,9
214,id luctus,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,55.41,4
215,nulla,consequat morbi a ipsum integer a nibh in quis justo,74.32,9
216,donec posuere metus vitae,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,11.96,6
217,et magnis dis parturient,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,71.97,8
218,pulvinar sed nisl nunc rhoncus,pede justo eu massa donec dapibus duis at velit eu est congue elementum,27.59,10
219,ultrices posuere,at lorem,39.55,4
220,nunc proin at turpis a,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,56.47,8
221,libero,eleifend quam a odio in hac habitasse platea dictumst,21.59,9
222,nunc nisl,elit,82.53,5
223,morbi,pretium iaculis justo in,80.36,5
224,sed,nonummy maecenas tincidunt lacus at,48.69,4
225,habitasse platea dictumst maecenas,eu magna vulputate luctus cum sociis,60.68,5
226,in blandit ultrices enim,vulputate,10.83,10
227,eget eleifend luctus ultricies,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,52.73,4
228,id consequat in consequat,est risus auctor sed tristique in tempus sit amet sem,82.79,2
229,enim,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,92.16,8
230,rutrum,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,92.57,9
231,proin,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,11.43,10
232,purus sit amet,nisi volutpat eleifend donec ut dolor morbi vel lectus,92.0,2
233,nunc nisl,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,78.53,6
234,ornare consequat,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,1.11,7
235,in est risus auctor,risus praesent lectus,66.71,10
236,quisque erat eros viverra eget,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,13.81,9
237,est,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,45.54,1
238,dui,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,18.29,5
239,feugiat et,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,33.41,8
240,quis turpis eget elit sodales,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,73.4,6
241,turpis integer aliquet massa id,proin risus praesent,20.14,2
242,suscipit a,phasellus in felis donec semper sapien a libero nam dui proin,82.28,10
243,lacinia erat vestibulum sed,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,46.31,4
244,erat,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,14.89,2
245,at vulputate vitae nisl aenean,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,89.8,2
246,a ipsum,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,58.31,3
247,posuere cubilia,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,52.2,3
248,maecenas pulvinar lobortis est,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,41.03,4
249,habitasse platea dictumst,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,29.46,9
250,orci vehicula condimentum curabitur,etiam,66.28,10
251,facilisi,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,14.77,9
252,penatibus et magnis dis,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,15.54,10
253,luctus et ultrices posuere cubilia,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,41.15,8
254,erat,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,29.03,4
255,ut at,in faucibus,85.01,10
256,id justo sit,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,1.78,1
257,feugiat non pretium,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,34.63,5
258,velit,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,68.57,6
259,etiam faucibus cursus,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,97.89,2
